Dates,Times,CheckoutDur,title
2006-03-10,12:46:00,41,"Da Vinci code"
2006-03-10,12:39:00,5,"Da Vinci code a novel"
2006-03-10,12:39:00,9,"Da Vinci code a novel"
2006-03-10,12:39:00,10,"Da Vinci code a novel"
2006-03-10,11:07:00,14,"Da Vinci code a novel"
2006-03-10,11:07:00,17,"Da Vinci code a novel"
2006-03-10,11:07:00,17,"Da Vinci code a novel"
2006-03-11,18:00:00,7,"Da Vinci code"
2006-03-11,16:06:00,17,"Da Vinci code"
2006-03-11,16:50:00,7,"Da Vinci code a novel"
2006-03-11,10:35:00,17,"Da Vinci code a novel"
2006-03-11,10:35:00,19,"Da Vinci code a novel"
2006-03-12,14:41:00,13,"Da Vinci code a novel"
2006-03-12,14:41:00,18,"Da Vinci code a novel"
2006-03-12,16:17:00,18,"Da Vinci code a novel"
2006-03-12,14:41:00,19,"Da Vinci code a novel"
2006-03-12,16:17:00,22,"Da Vinci code a novel"
2006-03-12,16:17:00,25,"Da Vinci code a novel"
2006-03-12,13:40:00,30,"Da Vinci code a novel"
2006-03-12,14:41:00,39,"Da Vinci code a novel"
2006-03-13,19:27:00,17,"Da Vinci code a novel"
2006-03-13,14:04:00,22,"Da Vinci code a novel"
2006-03-13,19:27:00,22,"Da Vinci code a novel"
2006-03-14,16:47:00,19,"Da Vinci code"
2006-03-14,17:38:00,20,"Da Vinci code"
2006-03-14,10:14:00,25,"Da Vinci code"
2006-03-14,17:38:00,24,"Da Vinci code"
2006-03-14,16:54:00,27,"Da Vinci code"
2006-03-14,17:38:00,27,"Da Vinci code"
2006-03-14,16:54:00,30,"Da Vinci code"
2006-03-14,18:31:00,16,"Da Vinci code a novel"
2006-03-14,13:09:00,17,"Da Vinci code a novel"
2006-03-14,18:31:00,20,"Da Vinci code a novel"
2006-03-14,18:31:00,22,"Da Vinci code a novel"
2006-03-14,16:55:00,24,"Da Vinci code a novel"
2006-03-14,16:55:00,26,"Da Vinci code a novel"
2006-03-14,18:31:00,40,"Da Vinci code a novel"
2006-03-14,18:31:00,40,"Da Vinci code a novel"
2006-03-14,18:31:00,42,"Da Vinci code a novel"
2006-03-14,18:31:00,43,"Da Vinci code a novel"
2006-03-15,16:56:00,8,"Da Vinci code"
2006-03-15,16:56:00,11,"Da Vinci code"
2006-03-15,16:56:00,13,"Da Vinci code"
2006-03-15,14:41:00,12,"Da Vinci code a novel"
2006-03-15,19:45:00,12,"Da Vinci code a novel"
2006-03-15,14:41:00,13,"Da Vinci code a novel"
2006-03-15,17:25:00,22,"Da Vinci code a novel"
2006-03-16,13:32:00,17,"Da Vinci code a novel"
2006-03-16,13:32:00,21,"Da Vinci code a novel"
2006-03-16,17:45:00,25,"Da Vinci code a novel"
2006-03-16,17:45:00,26,"Da Vinci code a novel"
2006-03-16,17:45:00,42,"Da Vinci code a novel"
2006-03-17,14:18:00,20,"Da Vinci code a novel"
2006-03-17,13:50:00,21,"Da Vinci code a novel"
2006-03-17,13:16:00,24,"Da Vinci code a novel"
2006-03-17,13:16:00,25,"Da Vinci code a novel"
2006-03-17,14:18:00,25,"Da Vinci code a novel"
2006-03-17,13:16:00,26,"Da Vinci code a novel"
2006-03-17,13:50:00,28,"Da Vinci code a novel"
2006-03-18,12:57:00,2,"Da Vinci code a novel"
2006-03-18,12:57:00,4,"Da Vinci code a novel"
2006-03-18,11:25:00,34,"Da Vinci code a novel"
2006-03-19,16:42:00,26,"Da Vinci code a novel"
2006-03-20,17:21:00,13,"Da Vinci code"
2006-03-20,17:21:00,16,"Da Vinci code"
2006-03-20,13:41:00,18,"Da Vinci code"
2006-03-20,13:41:00,20,"Da Vinci code"
2006-03-20,14:44:00,22,"Da Vinci code"
2006-03-20,17:21:00,34,"Da Vinci code"
2006-03-21,16:56:00,23,"Da Vinci code a novel"
2006-03-21,16:56:00,26,"Da Vinci code a novel"
2006-03-21,16:56:00,33,"Da Vinci code a novel"
2006-03-22,17:37:00,0,"Da Vinci code a novel"
2006-03-22,17:37:00,1,"Da Vinci code a novel"
2006-03-22,17:37:00,4,"Da Vinci code a novel"
2006-03-22,18:37:00,13,"Da Vinci code a novel"
2006-03-22,18:37:00,15,"Da Vinci code a novel"
2006-03-22,18:37:00,18,"Da Vinci code a novel"
2006-03-22,16:06:00,18,"Da Vinci code a novel"
2006-03-22,16:06:00,19,"Da Vinci code a novel"
2006-03-22,16:44:00,33,"Da Vinci code a novel"
2006-03-22,16:44:00,34,"Da Vinci code a novel"
2006-03-22,17:08:00,34,"Da Vinci code a novel"
2006-03-24,14:26:00,17,"Da Vinci code a novel"
2006-03-24,16:30:00,19,"Da Vinci code a novel"
2006-03-24,16:30:00,20,"Da Vinci code a novel"
2006-03-24,16:49:00,21,"Da Vinci code a novel"
2006-03-24,14:26:00,30,"Da Vinci code a novel"
2006-03-25,14:25:00,20,"Da Vinci code"
2006-03-25,14:25:00,41,"Da Vinci code"
2006-03-25,14:25:00,43,"Da Vinci code"
2006-03-25,14:25:00,63,"Da Vinci code"
2006-03-25,12:00:00,18,"Da Vinci code a novel"
2006-03-25,16:26:00,19,"Da Vinci code a novel"
2006-03-26,15:28:00,37,"Da Vinci code"
2006-03-26,16:32:00,16,"Da Vinci code a novel"
2006-03-27,18:20:00,7,"Da Vinci code a novel"
2006-03-27,14:13:00,28,"Da Vinci code a novel"
2006-03-27,14:13:00,30,"Da Vinci code a novel"
2006-03-27,14:13:00,31,"Da Vinci code a novel"
2006-03-28,17:30:00,30,"Da Vinci code"
2006-03-28,17:30:00,34,"Da Vinci code"
2006-03-28,12:22:00,0,"Da Vinci code a novel"
2006-03-28,12:22:00,8,"Da Vinci code a novel"
2006-03-28,12:22:00,8,"Da Vinci code a novel"
2006-03-28,17:13:00,22,"Da Vinci code a novel"
2006-03-28,17:13:00,23,"Da Vinci code a novel"
2006-03-28,17:13:00,28,"Da Vinci code a novel"
2006-03-28,18:05:00,74,"Da Vinci code a novel"
2006-03-28,18:05:00,75,"Da Vinci code a novel"
2006-03-29,15:08:00,34,"Da Vinci code"
2006-03-29,19:55:00,4,"Da Vinci code a novel"
2006-03-29,19:55:00,5,"Da Vinci code a novel"
2006-03-29,13:13:00,16,"Da Vinci code a novel"
2006-03-30,17:45:00,6,"Da Vinci code a novel"
2006-03-30,17:45:00,7,"Da Vinci code a novel"
2006-03-30,17:45:00,10,"Da Vinci code a novel"
2006-03-30,19:03:00,11,"Da Vinci code a novel"
2006-03-30,19:03:00,14,"Da Vinci code a novel"
